"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"VT01",3.16331306049009e-15,5.31980556469741e-09,3.15273080100898e-10,1.32989651930858e-08,4.890278551724e-12,5.88517575263913e-11,2.58729290119125e-12,1.6632940324432e-18,4.75374975870573e-14,3.10219063429337e-19,9.31719315519258e-15
"VT02",NA,3.02143016752461e-06,9.51041301778603e-08,7.11500848532942e-06,3.5513422118456e-08,2.96115772176826e-07,4.7371726318296e-09,5.80273322672841e-12,2.50688016299401e-11,2.52793279688551e-14,9.3416102375275e-11
"VT03",NA,NA,5.08321861761471e-14,4.52445835717251e-12,1.03105676866041e-12,4.47069435543347e-11,1.14101468676381e-10,1.03304557469147e-10,2.14586562926798e-09,1.44078300938112e-07,8.07107245994693e-10
"VT04",NA,NA,NA,1.67617236393318e-11,6.95620964167138e-11,6.31511281714693e-10,2.57653895641125e-14,2.07983071642555e-13,9.58494891097691e-09,1.53842532189534e-08,9.03008896232196e-13
"VT05",NA,NA,NA,NA,1.82376077181497e-12,2.61444755909614e-10,9.2769926215538e-10,1.99611014963782e-10,1.58673974889634e-08,4.63848102612784e-07,4.90241580175819e-09
"VT06",NA,NA,NA,NA,NA,7.00506813689346e-17,3.47143729355663e-11,1.2447522761669e-12,4.68454608201486e-10,1.8538401869558e-11,4.89436315561404e-10
"VT07",NA,NA,NA,NA,NA,NA,1.41199008281589e-09,2.92949460869671e-11,8.18754998940838e-09,3.918128103112e-11,2.51556872480305e-08
"VT08",NA,NA,NA,NA,NA,NA,NA,1.64885746515753e-15,1.10856864550366e-09,3.89643223991123e-11,2.43461648730537e-16
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,6.1425116986932e-14,1.39136894118098e-14,1.91404859924187e-16
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3598535947298e-11,9.04964775518294e-11
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78672171702042e-11
