"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"VT01",0.969431720271733,0.962601227668406,0.0351814054961802,0.00627357336721257,0.0108894851824499,0.10722179293032,0.44445288159138,2.27124115706613e-07,0.0424178593418508,0.602911253073798,0.375829114467868
"VT02",NA,0.000849599485306782,0.00796127827172322,0.248481501333736,0.710291896439807,0.0663731055371411,0.120743672662281,0.763023904013785,0.466254829843724,0.0926290252539421,0.118318752606654
"VT03",NA,NA,0.00942787961606947,0.194400478202969,0.51489327894983,0.100250879369476,0.534616186796034,0.870210601881852,0.337159072340923,0.109102043735324,0.315083114402698
"VT04",NA,NA,NA,0.606803838144278,0.640743528751861,0.022886693380041,0.272071440404032,0.0184401917245301,0.648516965531907,0.124206210504058,0.870050684455132
"VT05",NA,NA,NA,NA,0.839666201200786,0.00590319216246967,0.0268203919698904,1.29646380409479e-05,0.294343327683369,0.0508801128868001,0.0013815334879765
"VT06",NA,NA,NA,NA,NA,0.0791008561266656,0.498759338288187,0.048992034272566,0.0048179409173022,0.0449692142493747,0.0430758528601528
"VT07",NA,NA,NA,NA,NA,NA,0.473439648676469,0.249537908660043,0.0487594421145501,0.4098854934739,0.902139809743222
"VT08",NA,NA,NA,NA,NA,NA,NA,0.0165222307371937,0.0494391659229013,0.115824816994645,0.0372512793463287
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,0.0152511920831047,0.841789636218071,0.124368322900477
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897525248904198,0.691738676689739
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00197319317095153
