"","1","2","3"
"VT01",0.5078,0.20464,0.12869
"VT02",0.44898,0.37293,0.06979
"VT03",0.51323,0.21872,0.11097
"VT04",0.54429,0.20244,0.11228
"VT05",0.45612,0.28116,0.11145
"VT06",0.40772,0.22869,0.19232
"VT07",0.42429,0.28128,0.08714
"VT08",0.55842,0.2008,0.08247
"VT09",0.58017,0.15988,0.10149
"VT10",0.4201,0.27816,0.15478
"VT11",0.54775,0.1831,0.09735
"VT12",0.62058,0.21748,0.10572
