"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"VT01",0.454291761274084,-0.338492623054221,-0.743259952919277,-0.740346086614289,-0.738642196209855,0.565320245799325,0.776672325408899,-0.899127885344972,-0.655641720877959,0.800953407720538,-0.780714572966572
"VT02",NA,-0.69140706617982,-0.474843747980457,-0.472203461842223,-0.268800143996987,0.483226274895828,0.490225840712123,-0.441117677995174,-0.608561092024361,0.54022458336314,-0.556204647960296
"VT03",NA,NA,0.659828126093164,0.677153211864347,0.203451788591774,-0.420101487238586,-0.627431788512255,0.476747011890479,0.37491064636511,-0.577636291205959,0.769372256156363
"VT04",NA,NA,NA,0.794113209825256,0.404056452358354,-0.412608886282609,-0.935153636046251,0.735897717601511,0.380485498635179,-0.77601986040151,0.892791823506314
"VT05",NA,NA,NA,NA,0.532055349387894,-0.591845342959825,-0.814200520490803,0.910260145595101,0.571286359459486,-0.808468161055361,0.904954163611786
"VT06",NA,NA,NA,NA,NA,-0.675482556316842,-0.42188066306115,0.711893593527391,0.77731456113075,-0.466224772967809,0.50993865460051
"VT07",NA,NA,NA,NA,NA,NA,0.418590448136389,-0.562228984186419,-0.618693082661795,0.406907185609012,-0.523231331208061
"VT08",NA,NA,NA,NA,NA,NA,NA,-0.794989400262347,-0.444430747481634,0.841074674912811,-0.892707682311
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,0.70431939238614,-0.864434509225092,0.857351643582728
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.592740292015439,0.584462728320649
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.886449770628432
