"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","PC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT07",NA,NA,NA,NA,NA,NA,"-0.119407131253593","0.0860844492516231","-0.244575662535012","0.000990799785019981","-0.0156720575181074"
"VT08",NA,NA,NA,NA,NA,NA,NA,"-0.541455291219425","-0.25370809423669","-0.119534188856717","-0.515064983556263"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"-0.177900511473123","-0.0153037962442232","0.372403419114863"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.143374565250313","-0.106127979881772"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.693372751775352"
"","PC2 absolute values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.0532775026850164","0.221235033971303","0.253066328013593","0.229493507842289","0.120719073477125","0.0517836267599949","0.701034138630113","0.757191976241075","0.149475737246885","0.18341303363913","0.377045825530346"
"VT02",NA,"0.314727389288683","0.577587540071935","0.297915614026122","0.450064713998595","0.0860110460229911","0.442061798803494","0.0933838849420589","0.148131066061966","0.620324369969363","0.807367564985939"
"VT03",NA,NA,"0.114318458259392","0.0783613448360923","0.114201650716546","0.0551768893380008","0.332093407032026","0.102414622300216","0.0724887698505959","0.168911342544099","0.492966538817389"
"VT04",NA,NA,NA,"0.475253694064486","0.0668001993300379","0.228922515870162","0.228160241140252","0.273199987870618","0.335178940331111","0.545222291068507","0.71243223067182"
"VT05",NA,NA,NA,NA,"0.287361123161779","0.65926978023711","0.373320792243501","0.507999604945164","0.0134810531431358","0.436258780822996","0.427748281430782"
"VT06",NA,NA,NA,NA,NA,"0.458474703346272","0.114331403460737","0.251554575666704","0.291139130318361","0.374106122417938","0.355416271462458"
"VT07",NA,NA,NA,NA,NA,NA,"0.119407131253593","0.0860844492516231","0.244575662535012","0.000990799785019981","0.0156720575181074"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.541455291219425","0.25370809423669","0.119534188856717","0.515064983556263"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.177900511473123","0.0153037962442232","0.372403419114863"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.143374565250313","0.106127979881772"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.693372751775352"
"","PC2 p-values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.876368712618277","0.513269999708661","0.452764389975149","0.497249178935406","0.723667308876104","0.879813290708988","0.0162440249782104","0.00696427063771789","0.660909910424918","0.589317696736471","0.253008217134531"
"VT02",NA,"0.345856707143089","0.0627689608170252","0.373580053487198","0.164827753522602","0.801467054600477","0.173398898484266","0.78478033153564","0.663804603431145","0.0417276932425445","0.00265710119158308"
"VT03",NA,NA,"0.737861149918841","0.81885936683425","0.738120877283835","0.87199189340151","0.318392057719897","0.764452235846333","0.832261511400515","0.619551924434104","0.123388105830248"
"VT04",NA,NA,NA,"0.139584520123372","0.845282098008451","0.498349757445225","0.499820687439021","0.416302124028918","0.313639006337761","0.0828081663762257","0.0138890554467776"
"VT05",NA,NA,NA,NA,"0.391542522325859","0.0273410424120322","0.258107957769533","0.110628718319845","0.968619938606719","0.179781455829032","0.1893974189802"
"VT06",NA,NA,NA,NA,NA,"0.156108055464511","0.737832367135241","0.455560273649347","0.385064049221262","0.257027975489101","0.283427366568128"
"VT07",NA,NA,NA,NA,NA,NA,"0.726570433115296","0.801300544453626","0.468569952985875","0.997693213216218","0.963522621159059"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.0853857592447282","0.451579900350169","0.726289132540019","0.104939526164293"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.600744702528436","0.964379290885526","0.259372789939523"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.674076904164968","0.756131339491457"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0179797475502713"
"","PC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","-0.239462622960806","0.0600278206344927","-0.277611664913494","0.628452495827395","-0.114166643415271","-0.176818177262468","0.450815900878184","0.487572913986112","0.0414889296080321","-0.777946354392641","-0.38075470340677"
"VT02",NA,"0.407926533511669","-0.291398638623226","-0.164302008363746","-0.154811238854596","-0.271505834760119","-0.00698595035640166","-0.0585088177195693","-0.213691143158289","-0.166610510763104","-0.0468713717680566"
"VT03",NA,NA,"-0.297512926558654","0.343388344828301","-0.0884594992895102","-0.0198321323017739","0.47409060265148","0.147948961589848","0.303042550323247","-0.119640053153495","0.0388458793852604"
"VT04",NA,NA,NA,"-0.284242225731028","-0.523505923882669","0.349600525204522","-0.634332039050569","-0.746013524133761","0.0315876847308087","0.34136375822605","-0.0533698649681539"
"VT05",NA,NA,NA,NA,"0.228762867375497","0.0201970370350739","0.289980195588421","0.658863578465743","-0.0285940477194338","-0.21107504596854","-0.131189011580927"
"VT06",NA,NA,NA,NA,NA,"-0.0835530520935871","-0.065179821683557","0.730975973987282","-0.0319267159245379","0.372639242907458","0.490060272970057"
"VT07",NA,NA,NA,NA,NA,NA,"-0.368288555727259","-0.148315042784613","-0.397278843810683","0.371168077657503","0.478675211505743"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.30608992126957","0.452041267604895","-0.502839647701796","-0.437024234130998"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"-0.0870812435616733","-0.151674496646757","0.0991369789383623"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0987521314031941","-0.358787771709116"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.355430269561193"
"","PC3 absolute values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.239462622960806","0.0600278206344927","0.277611664913494","0.628452495827395","0.114166643415271","0.176818177262468","0.450815900878184","0.487572913986112","0.0414889296080321","0.777946354392641","0.38075470340677"
"VT02",NA,"0.407926533511669","0.291398638623226","0.164302008363746","0.154811238854596","0.271505834760119","0.00698595035640166","0.0585088177195693","0.213691143158289","0.166610510763104","0.0468713717680566"
"VT03",NA,NA,"0.297512926558654","0.343388344828301","0.0884594992895102","0.0198321323017739","0.47409060265148","0.147948961589848","0.303042550323247","0.119640053153495","0.0388458793852604"
"VT04",NA,NA,NA,"0.284242225731028","0.523505923882669","0.349600525204522","0.634332039050569","0.746013524133761","0.0315876847308087","0.34136375822605","0.0533698649681539"
"VT05",NA,NA,NA,NA,"0.228762867375497","0.0201970370350739","0.289980195588421","0.658863578465743","0.0285940477194338","0.21107504596854","0.131189011580927"
"VT06",NA,NA,NA,NA,NA,"0.0835530520935871","0.065179821683557","0.730975973987282","0.0319267159245379","0.372639242907458","0.490060272970057"
"VT07",NA,NA,NA,NA,NA,NA,"0.368288555727259","0.148315042784613","0.397278843810683","0.371168077657503","0.478675211505743"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.30608992126957","0.452041267604895","0.502839647701796","0.437024234130998"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.0870812435616733","0.151674496646757","0.0991369789383623"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0987521314031941","0.358787771709116"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.355430269561193"
"","PC3 p-values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.478207169680433","0.860828600086116","0.408508750223583","0.0383699805473193","0.738198722541698","0.60299790656035","0.16403694447583","0.128185707431892","0.903598815433012","0.00481250055543465","0.24798833003567"
"VT02",NA,"0.212975855827806","0.384621035726669","0.629276452465658","0.649465450491163","0.419313907976146","0.983736170379749","0.864321864859175","0.528094292219143","0.624399375919299","0.891152868256092"
"VT03",NA,NA,"0.374257562980077","0.301181330874632","0.795916946138366","0.953847823219197","0.140692614279087","0.664196940584345","0.365008838374068","0.726054776286221","0.909717698526132"
"VT04",NA,NA,NA,"0.396931386620478","0.0983966818505899","0.291937482231928","0.0360615732755105","0.00837889734997139","0.926542799313744","0.304228100133638","0.876155806338082"
"VT05",NA,NA,NA,NA,"0.498657667816772","0.952999439146025","0.387045620970854","0.0274697578027964","0.933490532084283","0.533276530563184","0.700618660840413"
"VT06",NA,NA,NA,NA,NA,"0.807047086477177","0.848997486752546","0.0105986377425289","0.925756246411226","0.259047310987382","0.125958688429274"
"VT07",NA,NA,NA,NA,NA,NA,"0.265089414708892","0.663408309496505","0.22632549816544","0.261081578268978","0.136356798405061"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.359962534371026","0.162751985804645","0.114907321150246","0.178931478850294"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.799040122565124","0.656185593202946","0.77181543332496"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.772681111122135","0.278557851082545"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.283407051674108"
