"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"VT01",-0.225018542553506,0.604529719772163,0.424441462204714,0.691941012082375,-0.203536978114912,-0.592787353634593,-0.429901769061859,-0.73917848667878,0.556848599552183,-0.560204944787263,-0.575838639424589
"VT02",NA,-0.599456519265214,-0.434580311729731,-0.202744112109287,0.315375059381543,0.205783759232932,0.573819274115553,0.335292064247746,-0.485935700853754,0.594815264853586,0.43691911309801
"VT03",NA,NA,0.557420584769411,0.551771687195614,-0.177496875256474,-0.301851371641937,-0.83167851496542,-0.697696194699702,0.502510110634569,-0.891732706115247,-0.67649038460504
"VT04",NA,NA,NA,0.649656114734109,-0.440333872780588,-0.454477672028593,-0.491536529925347,-0.696729054060259,0.633501424549546,-0.76967955554585,-0.729775287087051
"VT05",NA,NA,NA,NA,-0.702135527511367,-0.810391245967836,-0.409557568613683,-0.858099660735413,0.76900792098489,-0.679441599019275,-0.92492452653273
"VT06",NA,NA,NA,NA,NA,0.72500044508812,0.167935558466453,0.388314697982787,-0.59023921537195,0.369126324790285,0.679115011921655
"VT07",NA,NA,NA,NA,NA,NA,0.24887379849447,0.700020978138166,-0.826596946791161,0.500593921462688,0.71629864658664
"VT08",NA,NA,NA,NA,NA,NA,NA,0.64141680018389,-0.563194674587446,0.894316329371056,0.617298642722753
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,-0.82314967360163,0.832033108150018,0.837855344918104
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.728569091565974,-0.828344713198471
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.835332873075123
"VT01",0.225018542553506,0.604529719772163,0.424441462204714,0.691941012082375,0.203536978114912,0.592787353634593,0.429901769061859,0.73917848667878,0.556848599552183,0.560204944787263,0.575838639424589
"VT02",NA,0.599456519265214,0.434580311729731,0.202744112109287,0.315375059381543,0.205783759232932,0.573819274115553,0.335292064247746,0.485935700853754,0.594815264853586,0.43691911309801
"VT03",NA,NA,0.557420584769411,0.551771687195614,0.177496875256474,0.301851371641937,0.83167851496542,0.697696194699702,0.502510110634569,0.891732706115247,0.67649038460504
"VT04",NA,NA,NA,0.649656114734109,0.440333872780588,0.454477672028593,0.491536529925347,0.696729054060259,0.633501424549546,0.76967955554585,0.729775287087051
"VT05",NA,NA,NA,NA,0.702135527511367,0.810391245967836,0.409557568613683,0.858099660735413,0.76900792098489,0.679441599019275,0.92492452653273
"VT06",NA,NA,NA,NA,NA,0.72500044508812,0.167935558466453,0.388314697982787,0.59023921537195,0.369126324790285,0.679115011921655
"VT07",NA,NA,NA,NA,NA,NA,0.24887379849447,0.700020978138166,0.826596946791161,0.500593921462688,0.71629864658664
"VT08",NA,NA,NA,NA,NA,NA,NA,0.64141680018389,0.563194674587446,0.894316329371056,0.617298642722753
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,0.82314967360163,0.832033108150018,0.837855344918104
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728569091565974,0.828344713198471
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.835332873075123
"VT01",0.505902993290222,0.0488242976858893,0.193215916559849,0.0183182496765434,0.548325491170153,0.0546088607533271,0.186935445964965,0.00934089238848259,0.0751801585605628,0.0730688265231587,0.0637578425250043
"VT02",NA,0.0512690945807274,0.181653869922539,0.549918305317964,0.344810835139115,0.543822069062819,0.0649126984794068,0.313465479604411,0.129665167776676,0.0535780550388799,0.179048062125353
"VT03",NA,NA,0.0748174985923813,0.0784507324353387,0.601584627057852,0.36699118387176,0.0015029854162196,0.0169847424438556,0.115184139779528,0.000225908230780848,0.0222666424873983
"VT04",NA,NA,NA,0.0305033064670196,0.175284644392212,0.160215647305517,0.12464870866479,0.0172038067405137,0.0363816515535487,0.0056001142209946,0.0107925485572932
"VT05",NA,NA,NA,NA,0.0160047900185037,0.00248606176903593,0.210973159941707,0.000725580242026322,0.00566801536296342,0.0214697007443838,4.56883153503288e-05
"VT06",NA,NA,NA,NA,NA,0.0115892251114004,0.621606085124969,0.237934804933936,0.0559231952160438,0.263919805197372,0.0215568773002535
"VT07",NA,NA,NA,NA,NA,NA,0.460537734620728,0.0164663524614504,0.00170493755451383,0.116802300448511,0.0131493710565227
"VT08",NA,NA,NA,NA,NA,NA,NA,0.0334108607874661,0.0712219051601141,0.000203424364893619,0.0430279586394327
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,0.00185304977148641,0.00148959608208584,0.00128227263045341
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109899279706447,0.00163332107190435
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013692407623931
