"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"VT01",0.651527490153932,-0.945200774062574,-0.913568004717195,-0.936015358529222,0.931684342080141,-0.952965958380072,0.92588912650609,0.913126806392009,-0.93026991349502,0.938270965743581,0.955994657759641
"VT02",NA,-0.628588475647008,-0.667771888235479,-0.530545111612975,0.759656010999829,-0.665498877414324,0.672196923156927,0.752216963550355,-0.683476057334188,0.740915321003058,0.675624267311591
"VT03",NA,NA,0.894149980221211,0.959490848374772,-0.955375996173799,0.961874044495056,-0.983186442191772,-0.935786508854069,0.882507760477904,-0.919043521133721,-0.946553233865525
"VT04",NA,NA,NA,0.881759389317158,-0.890668393381147,0.962462500583313,-0.855751832181406,-0.85724496888955,0.915791019281324,-0.905345781733378,-0.926744364987766
"VT05",NA,NA,NA,NA,-0.917849025925801,0.936495899906325,-0.942081925185803,-0.89097897673901,0.852589270442729,-0.905917962685081,-0.931098572240857
"VT06",NA,NA,NA,NA,NA,-0.932324708954383,0.976664566593903,0.928277788641575,-0.866553784587624,0.967393295425131,0.932543580188588
"VT07",NA,NA,NA,NA,NA,NA,-0.92851909030118,-0.933187479140236,0.929772083010732,-0.92764019139866,-0.965228726225371
"VT08",NA,NA,NA,NA,NA,NA,NA,0.91511182585846,-0.820887537974627,0.91870396013004,0.906810610979452
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,-0.923208276859726,0.944964802486064,0.968546192496156
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.923845983304655,-0.975267043817835
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96733716032506
"VT01",0.651527490153932,0.945200774062574,0.913568004717195,0.936015358529222,0.931684342080141,0.952965958380072,0.92588912650609,0.913126806392009,0.93026991349502,0.938270965743581,0.955994657759641
"VT02",NA,0.628588475647008,0.667771888235479,0.530545111612975,0.759656010999829,0.665498877414324,0.672196923156927,0.752216963550355,0.683476057334188,0.740915321003058,0.675624267311591
"VT03",NA,NA,0.894149980221211,0.959490848374772,0.955375996173799,0.961874044495056,0.983186442191772,0.935786508854069,0.882507760477904,0.919043521133721,0.946553233865525
"VT04",NA,NA,NA,0.881759389317158,0.890668393381147,0.962462500583313,0.855751832181406,0.85724496888955,0.915791019281324,0.905345781733378,0.926744364987766
"VT05",NA,NA,NA,NA,0.917849025925801,0.936495899906325,0.942081925185803,0.89097897673901,0.852589270442729,0.905917962685081,0.931098572240857
"VT06",NA,NA,NA,NA,NA,0.932324708954383,0.976664566593903,0.928277788641575,0.866553784587624,0.967393295425131,0.932543580188588
"VT07",NA,NA,NA,NA,NA,NA,0.92851909030118,0.933187479140236,0.929772083010732,0.92764019139866,0.965228726225371
"VT08",NA,NA,NA,NA,NA,NA,NA,0.91511182585846,0.820887537974627,0.91870396013004,0.906810610979452
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,0.923208276859726,0.944964802486064,0.968546192496156
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.923845983304655,0.975267043817835
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96733716032506
"VT01",0.0298685754364599,1.14148461963152e-05,8.4687296978649e-05,2.26195935157088e-05,3.01803196769544e-05,5.80447128533166e-06,4.31667599862398e-05,8.65935186546957e-05,3.3027130044842e-05,1.93100283859815e-05,4.32113195510174e-06
"VT02",NA,0.0383154619277836,0.0247435809276069,0.0931492521012201,0.00667765477690054,0.0254201115129043,0.0234632664679614,0.00757028763871376,0.0204133662605751,0.00908919394253042,0.0225044627915452
"VT03",NA,NA,0.00020481843113542,2.99241119022377e-06,4.59716873899492e-06,2.28575377622325e-06,5.92099404466155e-08,2.29782230865954e-05,0.000321919886116041,6.35959602631839e-05,1.02209188360323e-05
"VT04",NA,NA,NA,0.000330879438600084,0.000235700403611071,2.13305138528008e-06,0.000778420899415884,0.000744492390087392,7.55654746487228e-05,0.000125927753880353,4.10215683049069e-05
"VT05",NA,NA,NA,NA,6.78091743224777e-05,2.1880538315395e-05,1.45769825240236e-05,0.000232810193369069,0.000854121928193774,0.000122642373296524,3.13354453040074e-05
"VT06",NA,NA,NA,NA,NA,2.89552180927093e-05,2.56396200748226e-07,3.73808460141053e-05,0.000557414914672286,1.1399746686095e-06,2.85453688155874e-05
"VT07",NA,NA,NA,NA,NA,NA,3.68313033970253e-05,2.73654064384004e-05,3.40765878089359e-05,3.88631973414809e-05,1.51755229288358e-06
"VT08",NA,NA,NA,NA,NA,NA,NA,7.8268471624378e-05,0.00195533324206992,6.47726711919732e-05,0.000117648001959113
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,5.04522271403199e-05,1.16336966399799e-05,9.71111754714972e-07
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.86397496388113e-05,3.32433967057462e-07
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14873935762767e-06
