"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"VT01",0.0077410964180421,0.00947192856039377,-0.40687809232383,0.512482561163192,0.482049191247849,0.316944702165181,-0.153555689041677,0.814962904432152,0.393269259587598,0.104798633459167,0.177474398786206
"VT02",NA,0.603992756175672,-0.499664872324591,-0.229985845563607,-0.0749334056961058,-0.358434678395488,-0.305881817028165,0.0608517016118535,0.146385176238821,0.330116897080483,-0.307795986801278
"VT03",NA,NA,-0.490267330237696,-0.257687624592337,-0.130987057004299,-0.323057621590108,0.12494927947839,-0.0329975120508244,-0.19207343557557,0.315346730218827,-0.200862805245262
"VT04",NA,NA,NA,-0.103681163078136,-0.0940598872259882,0.43632522495451,0.219156458673735,-0.450247666316811,0.0918851589128247,-0.30319690280037,-0.0330385112441992
"VT05",NA,NA,NA,NA,0.0408535356498726,0.515680325973366,-0.425743632430774,0.734360557201104,0.209473234128738,-0.379521004701558,0.584036138442287
"VT06",NA,NA,NA,NA,NA,0.343808814184848,0.136010378841147,0.382422662022461,0.526140838042305,0.388911802218298,-0.392126010930823
"VT07",NA,NA,NA,NA,NA,NA,0.144060804638131,0.22948687850101,0.382786174951677,-0.16532442028477,-0.0248349793952015
"VT08",NA,NA,NA,NA,NA,NA,NA,-0.457120764577667,-0.381727649895691,0.309794990812849,-0.402773372035577
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,0.46204707707759,-0.0403056349340919,0.303072548928005
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0260120211126613,-0.0799673642103921
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.568547780400933
