F1n,F2n,F1c,F2c
307,2171,265,2428
499,1773,503,1897
519,1720,567,1903
538,1723,563,1662
652,1595,758,1753
619,1244,495,1134
678,1041,722,1089
627,866,637,875
498,845,611,1068
514,1044,429,1207
355,696,404,1034
