F1n,F2n,F1c,F2c
289,2215,294,2317
428,1866,446,1845
425,1983,425,2013
547,1740,,
606,1719,748,1816
568,1329,559,1340
659,1180,742,1170
569,875,568,837
406,799,462,942
515,974,457,1185
352,818,286,864
