F1n,F2n,F1c,F2c
391,2720,340,2757
654,2269,537,2311
704,2404,706,2156
770,2240,555,1838
903,2087,901,2044
843,1574,655,1461
917,1484,842,1679
811,1242,737,1247
773,1326,663,1296
721,1602,511,1452
391,1163,417,1081
