F1n,F2n,F1c,F2c
311,2086,327,2032
449,1765,414,1771
495,1729,470,1650
496,1693,503,1599
566,1598,638,1671
521,1236,552,1361
640,1105,701,1184
631,925,636,984
493,912,442,1047
463,1137,390,1211
326,928,314,954
