SF1,15.11,14.32,13.55,14.01,13.46,13.9,14.53,15.29,14.51,14.02,15.51
SF2,13.32,13.84,13.71,13.6,13.93,12.94,13.85,14.47,14.22,14.11,13.76
SF3,15.1,15.24,16.27,15.34,14.15,15.44,13.92,15.83,16.03,15.92,15.97
SM1,17.28,17.73,18.02,17.56,16.75,17.58,16.35,17.31,17.94,17.34,18.48
SM2,17.53,17.5,16.03,NA,16.1,17.37,17.02,18.1,17.76,17.71,18.2
SM3,17.57,18.07,17.28,17.79,17.38,17.38,17.98,18.84,17.87,18.28,17.98
