F1n,F2n,F1c,F2c
368,2828,371,2914
557,2180,536,2152
694,2277,563,2094
771,2024,672,1914
820,1712,877,1747
617,1432,773,1588
708,1329,848,1366
683,1231,775,1216
603,1017,614,1190
631,1353,458,1331
433,1144,391,1153
